sample,age.cal.BP,Alnus,Betula,Carpinus,Corylus,Cretaegus,Fagus,Fraxinus,Pinus,Prunus spinosa,Quercus,Salix,Sorbus,Tilia,Ulmus,Hedera helix,Ilex aquifolium,Ulex,Ericaceae undiff.,Calluna,Poaceae <37um,Avena/Triticum t.,Cyperaceae,Anagallis tenella,Anthemis,Artemisia,Apiaceae,Asteraceae,Brassicaceae,Campanula type,Cardueae,Caryophyllaceae,Centaurea nigra,Chenopodiaceae,Drosera intermedia,Drosera rotundifolia,Filipendula,Galium,Gentianella campestris,Lactuceae,Lamiaceae,Lotus,Plantago lanceolata,Polygala,Potentilla,Ranunculus acris type,Rhinanthus,Rosaceae undiff.,Rumex acetosa,Rumex obtusifolia,Scrophularia type,Sedum type,Succisa pratensis,Polypodium,Pteridium,Pteropsida (monolete) undiff.,Sphagnum
119,5140,23,4,0,94,0,0,1,2,0,48,1,0,0,0,0,0,0,0,35,47,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0
120,5162,24,7,0,100,0,0,0,1,0,49,0,0,2,0,0,0,0,0,37,51,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,12,2,2
122,5204,45,5,0,63,0,0,0,0,0,38,0,0,2,3,0,0,0,0,16,40,0,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,1,0,0,0,1,0,0,0,0,0,3,0,0
123,5224,46,5,0,100,0,0,0,1,0,45,0,0,3,1,0,0,0,0,22,49,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,4,4,1
124,5242,43,3,0,82,0,0,1,0,0,60,0,0,1,1,1,0,0,2,30,49,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0
125,5261,31,4,0,90,0,0,0,0,0,34,1,0,0,1,0,0,0,2,18,77,0,39,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,2,0
126,5278,15,5,0,67,0,0,1,1,0,40,0,0,1,4,0,0,0,0,70,74,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,1
127,5295,27,5,0,71,0,0,1,2,0,35,0,0,1,4,1,0,0,0,56,88,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,5,2,0
128,5312,35,1,0,76,0,0,0,0,0,31,0,0,1,8,0,0,0,0,108,43,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,1
129,5328,44,11,0,70,0,0,1,0,0,64,0,0,1,10,0,0,0,1,64,82,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,1,0
130,5344,36,16,0,63,0,0,0,4,0,44,0,0,3,8,0,0,0,0,46,86,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,9,4,0
131,5359,47,11,0,70,0,0,2,0,0,38,1,0,1,5,1,0,0,1,64,77,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,2,0,1,1,4,4,0
132,5375,30,3,1,102,0,0,0,1,0,56,0,1,2,8,1,0,0,0,52,49,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,6,1
133,5390,32,10,0,104,0,0,3,2,0,36,1,0,3,12,0,0,0,0,63,38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,6,2,1,3
134,5404,45,8,0,90,0,0,2,2,0,54,1,0,1,8,0,0,0,0,64,29,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,6,3,2,0
135,5419,43,15,0,89,0,0,3,7,0,40,0,0,0,10,0,0,0,0,56,36,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,5,5,2,1
136,5434,38,9,0,95,0,0,3,2,0,41,1,0,1,9,0,0,0,1,60,42,0,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,1
137,5449,36,13,0,124,0,0,1,2,0,63,0,0,3,5,0,0,0,0,59,43,0,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,6,8,1,1
