depth,age.cal.BP,Acer campestre-type,Alnus,Artemisia,Asteraceae,Asteraceae subf. Carduoideae,Asteraceae subf. Cichorioideae,Avena/Triticum-type,Betula,Brassicaceae,Calluna vulgaris,Carpinus betulus,Chenopodiaceae/Amaranthaceae,Corylus,Cyperaceae,Drosera rotundifolia-type,Elodea,Ericales (tetrad),Fagus,Filipendula,Fraxinus,Hedera,Hordeum-type,Hypericum,Ilex,Juglans,Lonicera,Malvaceae,Monolete fern spores,Phyteuma-type,Pinus,Plantago lanceolata-type,Poaceae,Polypodium,Potentilla-type,Pteridium aquilinum,Quercus,Ranunculus acris-type,Rhinanthus-type,Rosaceae,Rubiaceae,Rumex acetosa-type,Salix,Scrophularia-type,Secale cereale,Sorbus-type,Sphagnum,Succisa-type,Tilia,Trifolium-type,Typha/Sparganium,Ulmus/Zelkova,Urtica dioica
344.5,5462,0,34,0,0,0,0,0,2,0,31,0,0,103,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,24,5,0,3,65,0,0,0,0,0,0,0,0,0,8,0,4,0,0,4,0
352.5,5542,0,29,0,0,0,0,0,6,0,18,0,1,108,50,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,43,2,0,1,39,2,0,0,0,1,1,0,0,1,15,0,0,0,0,7,0
360.5,5618,0,32,0,0,0,0,0,1,0,45,0,0,101,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,42,7,0,1,57,0,0,0,0,0,1,1,0,0,3,0,2,0,0,5,0
368.5,5694,0,24,0,0,0,0,0,5,0,68,0,0,92,13,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,51,3,0,3,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0
376.5,5770,0,42,0,0,0,0,0,9,0,53,0,0,74,34,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,16,2,0,0,51,0,0,0,0,0,1,0,0,0,5,0,2,0,0,14,0
384.5,5851,0,31,0,0,0,0,0,8,0,60,0,0,96,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,28,2,0,0,45,2,0,0,0,0,0,0,0,0,2,0,2,0,0,17,0
392.5,5939,0,31,0,0,0,0,0,9,0,22,0,0,113,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,22,2,0,0,65,0,0,0,0,0,0,0,0,0,6,0,3,0,0,15,0
400.5,6037,0,20,0,0,0,0,0,12,0,42,0,0,113,9,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,10,0,35,2,2,1,44,1,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0
408.5,6146,0,23,2,0,0,0,0,14,0,44,0,0,91,29,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,39,0,0,0,44,0,0,0,0,1,1,0,0,0,21,0,4,0,0,7,0
416.5,6270,0,29,0,0,0,0,0,12,0,28,0,0,107,7,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,43,2,0,0,56,2,1,0,0,0,0,0,0,0,3,0,0,0,0,19,0
424.5,6412,0,37,0,0,0,0,0,2,0,6,0,0,132,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,42,3,0,2,63,0,0,0,0,0,0,0,0,0,28,0,2,0,0,11,0
432.5,6573,0,22,0,0,0,0,0,28,0,14,0,0,96,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,63,1,0,4,53,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0
440.5,6756,0,12,0,0,0,0,0,9,0,7,0,0,94,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,135,2,1,1,35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0
448.5,6965,0,5,0,0,0,0,0,26,0,36,0,0,143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,56,1,1,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0
456.5,7201,0,7,0,0,0,0,0,5,0,6,0,0,171,16,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,13,0,56,3,0,4,23,0,0,0,0,0,0,0,0,0,17,1,0,0,0,9,0
464.5,7467,0,3,0,0,0,0,0,41,0,5,0,0,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,1,102,2,0,6,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0
