depth,age.cal.BP,Alnus,Abies,Betula,Carpinus,Fagus,Fraxinus,Juglans,Pinus,Prunus type,Quercus,Sorbus t.,Tilia,Ulmus,Corylus avellana t.,Juniperus,Salix,Ilex aquifolium,Lonicera periclymenum,Ericaceae,Calluna ,Poaceae <37 um,Hordeum t.,Avena/Triticum t.,Secale cereale,Cyperaceae,Anagallis tenella,Anthemis,Apiaceae,Artemisia,Asteraceae,Centaurea nigra, Cardueae,Lactuceae,Campanula t.,Caryophyllaceae,Chenopodiaceae,Brassicaceae,Drosera,Filipendula,Galium,Helianthemum,Humulus t.,Hypericum perforatum,Lamium t.,Lotus t.,Lysimachia vulgaris,Montia fontana,Myosotis,Plantago lanceolata,Plantago major/media,Polemonium caeruleum,Potentilla t.,Rumex acetosa t.,Rumex acetosella,Rumex obtusifolius,Ranunculus acris t.,Caltha palustris,Thalictrum,Rhinanthus,Rosaceae undiff.,Scutellaria,Scrophularia t.,Sedum t.,Succisa pratensis,Stachys t.,Trifolium t.,Ulex,Urtica dioica,Valeriana dioica,Valerianella,Equisetum,Potamogeton,Hymenophyllum,Polypodium,Pteridium,Pteropsida (monolete) undiff.,Sphagnum
128,4730,13,0,1,0,0,2,0,0,0,80,0,1,2,116,0,2,0,0,0,7,235,0,0,0,12,0,0,0,0,0,4,2,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,0,0,9,1,0,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,15,17,21,2
132,4850,34,0,0,0,0,1,0,1,0,95,1,0,2,127,0,2,0,0,0,9,165,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,2,3,1,0,1,1,0,0,27,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,8,46,1
136,4970,26,0,0,0,0,0,0,1,0,122,0,1,2,108,2,2,0,0,0,16,156,0,0,0,29,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,16,1,0,0,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,41,6,52,1
140,5089,24,0,1,0,0,0,0,1,0,108,0,4,2,99,0,5,0,0,0,16,182,0,0,0,12,0,0,0,0,0,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,48,9,59,1
144,5209,20,0,1,0,0,0,0,3,0,113,0,5,4,118,0,3,0,0,1,13,173,0,0,0,13,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,1,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,37,6,61,1
148,5329,35,0,1,0,0,0,0,2,0,100,0,0,3,124,0,4,0,0,0,2,177,0,0,0,13,0,0,0,0,0,4,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,21,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,22,30,51,1
152,5449,26,0,6,0,0,4,0,2,0,138,1,2,7,196,0,0,0,0,0,10,61,0,0,0,20,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,3,0,0,2,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,30,28,236,0
156,5569,2,0,1,0,0,1,0,10,0,52,1,2,7,29,0,2,0,0,2,106,31,0,0,0,85,0,0,0,0,1,10,0,10,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,2,1,0,3,1,0,0,1,0,0,0,133,0,0,0,0,0,0,0,0,0,150,7,300,0
160,5689,1,0,0,0,0,3,0,23,0,136,0,4,16,45,0,1,0,0,2,59,23,0,0,0,71,0,0,1,0,3,5,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,3,0,0,0,1,0,0,0,87,0,1,0,0,1,0,0,0,0,255,15,585,5
164,5808,11,0,6,0,0,2,0,7,0,155,2,2,16,156,0,4,1,0,0,16,43,0,0,0,22,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,3,0,0,2,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,73,9,536,2
168,5928,5,0,3,0,0,0,0,9,0,139,1,6,22,137,0,1,0,0,0,38,20,0,0,0,26,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,82,0,1,0,0,0,0,0,0,0,99,6,306,0
172,6048,7,0,0,0,0,3,0,21,0,112,0,2,7,110,1,2,0,1,0,28,66,0,0,0,31,0,0,0,0,1,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,0,0,0,0,0,1,0,87,0,0,0,0,0,0,0,0,0,184,6,287,0
176,6168,5,0,1,0,0,1,0,11,0,205,0,2,11,93,0,3,0,0,0,10,35,0,0,0,26,0,0,0,0,3,7,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,70,0,0,0,0,0,1,0,0,1,145,3,458,0
180,6288,22,0,7,0,0,0,0,9,0,105,0,3,6,189,0,2,0,0,0,21,54,0,0,0,18,0,0,0,0,2,3,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,6,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,172,11,346,0
184,6408,5,0,4,0,0,0,0,21,0,77,1,3,12,76,0,1,0,0,0,42,38,0,0,0,35,0,0,0,0,0,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,9,5,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,438,9,541,1
