depth,age.cal.BP,Acer,Alnus,Betula,Carpinus,Corylus,Fagus,Fraxinus,Pinus,Quercus,Salix,Tilia,Ulmus,Juglans,Juniperus,Hedera helix,Ilex aquifolium,Ulex,Ericaceae,Calluna vulgaris,Poaceae,Asteraceae,Artemisia type,Brassica,Campanula type,Centaurea cyanus,Centaurea nigra,Centaurea scabiosa,Chenopodiaceae,Cyperaceae,Drosera rotundifolia,Filipendula,Galium,Hordeum,Hypericum,Lactuceae,Lonicera,Malva type,Menyanthes,Myrica gale,Plantago lanceolata,Polygala,Potentilla type,Ranunculus acris type,Rhinanthus,Rosaceae,Rumex acetosa,Sambucus,Scrophularia,Secale cereale,Stachys,Succisa pratensis,Trifolium,Urtica dioica,Elodea,Typha,Polypodium,Pteridium,Pteropsida,Sphagnum
248.5,4968,0,34,2,0,78,0,1,3,51,0,2,1,0,0,0,0,0,0,46,18,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
256.5,5045,0,36,7,0,107,0,0,0,42,0,0,2,0,0,0,0,0,0,11,19,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
264.5,5123,0,38,4,0,125,0,3,0,43,0,1,3,0,0,1,0,0,0,52,16,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
272.5,5208,0,41,13,0,74,0,0,2,34,0,0,2,0,0,0,0,0,0,75,18,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
280.5,5303,0,14,3,0,92,0,2,2,46,0,0,8,0,0,0,0,0,0,93,23,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2
288.5,5413,0,27,14,0,109,0,0,4,40,0,1,3,0,0,0,0,0,0,44,39,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
296.5,5542,0,29,8,0,112,0,1,7,57,0,6,10,0,0,0,0,0,0,36,31,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8
304.5,5695,1,42,11,0,69,0,0,2,39,1,1,16,0,0,1,0,0,1,38,59,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
312.5,5876,0,33,4,0,102,0,3,2,23,0,1,10,0,0,0,0,0,0,64,30,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7
320.5,6089,0,33,14,0,101,0,1,3,32,0,1,12,0,0,1,0,0,0,35,50,1,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
328.5,6338,0,26,9,0,158,0,0,4,32,0,0,22,0,0,0,0,0,0,11,32,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,7
336.5,6629,0,20,14,0,99,0,0,7,18,0,0,7,0,0,0,0,0,0,43,83,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1
344.5,6965,0,7,9,0,175,0,0,4,20,0,1,9,0,0,0,0,0,0,28,37,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,1
352.5,7351,0,3,12,0,106,2,0,13,14,0,0,8,0,0,0,0,0,3,89,40,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
