depth,age.cal.bp,Acer,Alnus,Betula,Carpinus,Corylus,Fagus,Fraxinus,Pinus,Quercus,Salix,Tilia,Ulmus,Juglans,Juniperus,cf Larix type,Hedera helix,Ilex aquifolium,Ulex,Ericaceae,Calluna vulgaris,Poaceae,Asteraceae,Artemisia type,Avena/Triticum,Brassica,Campanula type,Centaurea cyanus,Centaurea nigra,Centaurea scabiosa,Chenopodiaceae,Cirsium,Cyperaceae,Drosera intermedia,Drosera rotundifolia,Filipendula,Galium,Hordeum,Hypericum,Lactuceae,Lysimachia,Malva type,Menyanthes,Myrica gale,Plantago lanceolata,Polygala,Potentilla type,Ranunculus acris type,Rhinanthus,Rosaceae,Rumex acetosa,Rumex acetosella,Sambucus,Secale cereale,Sorbus,Succisa pratensis,Trifolium,Trofolium repens,Urtica dioica,Elodea,Typha,Polypodium,Pteridium,Pteropsida,Sphagnum
440.5,4592,0,36,7,0,128,0,1,5,67,0,0,4,0,0,0,0,0,0,0,27,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
448.5,4704,0,46,15,0,109,0,2,2,51,0,0,1,0,0,0,3,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,3
456.5,4835,0,47,4,0,151,0,0,0,49,1,1,0,0,0,0,0,0,0,0,31,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,10
464.5,4981,0,38,5,0,109,0,4,0,60,0,0,1,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0
472.5,5137,0,39,4,0,156,0,3,2,61,1,1,1,0,0,0,0,0,0,0,14,11,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,2,8
480.5,5300,0,26,9,0,79,0,5,4,42,1,1,6,0,0,0,0,0,0,1,16,6,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,5
488.5,5465,0,27,5,0,91,0,2,0,52,1,2,14,0,0,0,0,0,0,0,72,14,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,2
496.5,5627,0,38,9,0,87,0,5,0,35,0,0,10,0,0,0,1,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,4,2
504.5,5781,0,45,7,0,108,0,0,0,67,0,0,17,0,0,0,1,0,0,0,44,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3
512.5,5925,0,27,12,0,88,0,1,3,34,0,0,6,0,0,0,1,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
