depth,age.cal.BP,Alnus,Betula,Carpinus betulus,Corylus,Fagus,Fraxinus,Ilex aquifolium,Pinus,Quercus,Salix,Sorbus t.,Tilia,Ulmus,Hedera helix,Lonicera,Ericaceae,Calluna vulgaris,Poaceae <37um,cf. Glyceria,Cyperaceae,Anthemis,Apiaceae,Artemisia,Asteraceae,Brassicaceae,Caltha palustris,Campanula,Cannabis/Humulus t.,Caryophyllaceae,Centaurea nigra,Centaurea scabiosa,Chenopodiacaea,Chrysosplenium oppositifolium,Circaea t.,Cirsium t.,Epilobium,Erodium,Filipendula,Galium,Hypericum,Lactuceae,Lamiaceae undiff.,Lotus t.,Lysimachia vulgaris,Montia fontana,Plantago coronopus,Plantago lanceolata,Plantago major/media,Plantago maritima,Polemonium caeruleum,Potentilla,Ranunculus acris t.,Rhinanthus,Rosaceae undiff.,Rumex acetosa/acetosella,Rumex obtusofolius,Scrophularia,Sedum t.,Succisa pratensis,Thalictrum,Trifolium,Urtica dioica,Valeriana dioica,Menyanthes trifoliata,Myriophyllum spicatum,Potamogeton,Typha angustifolia,Filicales,Polypodium,Pteridium,Sphagnum,exotics,TLP,TLP+aquatics,TLP+spores
104,510,6,0,0,3,1,2,0,3,15,1,0,1,1,0,0,0,13,287,32,9,0,0,1,3,1,2,0,0,2,1,0,0,0,0,5,0,0,1,14,0,9,0,0,0,3,0,28,1,0,0,15,42,0,0,10,0,0,0,0,0,1,0,0,0,0,30,0,3,3,4,1,512,513,543,524
112,530,2,2,0,6,1,0,0,0,7,1,0,0,0,0,0,0,5,84,12,3,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,14,0,8,0,0,0,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,7,1,1,2,375,168,170,179
120,548,8,3,0,44,2,0,0,2,10,1,0,0,2,0,0,4,133,196,14,3,0,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,2,18,0,0,0,0,0,13,1,0,0,16,8,0,0,0,0,1,0,6,0,0,0,0,3,0,4,0,9,25,7,1,442,502,509,544
128,566,8,3,0,10,0,0,0,0,9,7,0,0,0,0,0,0,11,162,16,0,0,2,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,6,5,0,1,0,1,0,16,0,16,0,0,0,17,2,0,0,10,1,0,0,0,0,0,0,0,0,0,29,2,6,1,7,2,1400,309,340,325
136,582,7,6,0,16,0,4,0,1,12,3,0,0,2,0,0,0,26,251,17,41,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,4,8,1,7,0,2,3,3,0,15,0,0,0,38,17,0,0,22,0,0,0,3,0,0,0,0,0,0,26,0,18,8,8,3,486,516,542,553
144,596,5,9,0,16,0,0,0,0,19,5,0,0,0,0,0,3,25,298,12,5,0,12,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,6,17,0,2,0,0,0,0,0,17,1,0,0,44,11,0,0,10,0,0,0,0,0,0,0,0,0,0,75,0,17,2,5,4,175,523,598,551
152,608,8,3,0,5,0,1,0,2,12,0,0,0,0,0,0,2,14,278,60,54,0,1,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,1,6,0,3,0,1,0,5,0,11,0,0,0,7,15,0,0,4,0,1,0,0,0,0,0,0,0,0,74,0,17,7,7,0,1172,500,574,531
160,619,7,7,0,15,0,0,0,0,9,7,0,0,0,0,0,0,38,215,36,8,0,12,1,4,1,0,0,2,0,1,0,1,0,0,0,0,0,5,10,2,12,0,0,0,8,0,33,0,0,0,41,13,0,0,12,0,0,0,0,0,0,0,0,0,1,390,0,8,3,1,4,934,500,891,516
168,628,7,4,0,8,1,1,0,3,6,0,0,0,0,0,0,0,38,96,155,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,18,0,8,0,0,0,4,2,0,0,2,0,0,0,2,0,0,2,1,0,0,68,0,9,12,6,0,2946,382,450,409
176,635,13,4,0,38,0,0,0,0,2,6,0,1,0,0,0,2,29,252,17,7,0,7,1,0,11,0,0,0,1,1,0,1,2,0,2,0,0,8,16,0,6,0,0,0,18,0,9,2,0,0,26,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,34,24,0,6,648,506,506,570
